Place,Movies,Latitude,Longitude
St Helena,2,-15.9686862,-5.7129557
KY USA,1,37.5726028,-85.1551411
Pigeon Forge Tennessee USA,1,35.7884241,-83.5543329
Furka,1,46.5765566,8.4218103
Strait of Gibraltar,1,35.96123265,-5.63536818241947
Cabo Verde,2,16.0000552,-24.0083947
Pennsylvania USA,3,40.9699889,-77.7278831
AZ 85268,1,33.5903367848251,-111.720210497841
England: UK,1,52.7954791,-0.540240286617432
TX,3,31.8160381,-99.5120986
Mallorca,3,39.6594484,2.9862211
France.,10,46.603354,1.8883335
Th Netherlands,1,52.1108922,5.26176850380845
Cleveland Ohio,1,41.5051613,-81.6934446
Republic of the Congo,2,-0.7264327,15.6419155
Yorkshire,1,42.5300624,-78.4727976
Kingdom of Bahrain,1,26.1551249,50.5344606
Tierra Blanca de Cartago Costa Rica,1,9.9159385,-83.8929524
Dublin,4,53.3497645,-6.2602732
Amsterdam,4,52.3745403,4.89797550561798
Scandic Norra Bantorget,1,59.3367705,18.0564634
Glasgow,1,55.8611389,-4.2501672
CA 95945,1,39.2147816280655,-121.044727619305
East Nepal,1,28.1083929,84.0917139
Kurdistan,4,35.672803,47.0124376
Victoria. Australia,3,-36.5986096,144.6780052
Stockholm,2,59.3251172,18.0710935
Macedon 3440 Victoria Australia,1,-37.424285,144.564177799034
The Faroe Islands,1,62.19850045,-6.81741243341217
White Waltham Airfield Maidenhead England UK,1,51.4986775,-0.773664905839079
Azerbayjan,2,40.3936294,47.7872508
Tx,1,31.8160381,-99.5120986
DK,2,55.670249,10.3333283
Seoul,2,37.5666791,126.9782914
Amerivest Financial Services,1,41.4261762,-81.7096852258403
Polynesia,5,41.0856589,1.1584131
Savannah Theatre,1,32.0757709,-81.0922509
Stockholm Sweden,1,59.3251172,18.0710935
Itay,2,-25.278389,-57.5459775
CA 91602,2,34.1539687630787,-118.367923268391
Lichtenstein,2,47.1416307,9.5531527
The Blalock House,1,32.3093062,-87.3836085
le-de-France 75018 France,1,48.7215525,1.27966135969016
Tyrrhenian Sea,2,39.9999743,11.9999826
Five Points Media Center,3,40.71571095,-73.9990219353349
Brisbane Queensland Australia,3,-27.4689682,153.0234991
Jinotega,1,13.0910392,-86.0023477
USS Potomac,2,37.7952765,-122.280141087031
portugal,1,40.033265,-7.8896263
Tokyo,6,35.6828387,139.7594549
St. Kitts and Nevis,1,17.3462278,-62.7687277
Spanish Court Hotel,1,18.00809305,-76.7838684239121
Manchester,1,53.4794892,-2.2451148
NZ,5,-41.5000831,172.8344077
New Jersey USA,1,40.0757384,-74.4041622
Antibes,1,43.5836,7.10905
Canyon Ranch,3,35.54351055,-120.334891662908
Thailand.,1,14.8971921,100.83273
le-de-France 75004 France,2,48.7215525,1.27966135969016
Per,3,45.5102355,9.0894574
1330-Oriro Guro-gu Seoul Republic of Korea,1,37.4849312,126.8398117
Bahawalpur,1,29.394644,71.6638747
CA 91604,2,34.1435551038494,-118.396744111239
Indiana,4,40.3270127,-86.1746933
Guinea Bissau,3,12.100035,-14.9000214
OH 43606,1,41.6579689,-83.5739016
Washington Avenue,1,31.5622317,-97.1275501
Sunshine Coast QLD Australia,1,-26.5443222,153.0507705
Mexico.,2,19.4326009,-99.1333416
Edmonton Expo Center,1,53.56888885,-113.457906033427
FL 32805,1,28.5359042382066,-81.3988975027774
Gomarus College Groningen,1,53.24524035,6.39952684914435
Indiana USA,3,40.3270127,-86.1746933
Saint Just,1,44.1108,4.22304
South Georgia and the South Sandwich Islands,6,-54.8432857,-35.8090698
Buckinghamshire,1,51.75,-0.75
Kingdom of Swaziland,1,-26.5624806,31.3991317
NY 10003,2,40.7298391,-73.9917813
Aylsford,2,52.4143168,-1.4962933
AUS,1,22.30459415,114.166429271449
Paris,4,48.8566101,2.3514992
CA 91505 USA,1,34.14391585,-118.761143806617
British Columbia,1,55.001251,-125.002441
U.K.,5,54.7023545,-3.2765753
Mumbai Maharastra,3,18.9387711,72.8353355
Lima,1,-12.0621065,-77.0365256
The King's Pub,1,43.6967229,7.2747339
Phillippines,1,39.91070565,116.43307045
North Atlantic Ocean,1,40.0,-40.0
South India,1,17.3615965,78.4276746
Maersk McKinney Moeller,1,46.5108859,6.61933933372455
CO 80204,1,39.7254255,-105.0525271
Air Van Rental,1,52.6953662,-8.9281351
Missouri USA,1,38.7604815,-92.5617875
TN 37209,1,36.1479631994278,-86.8527514176382
AZ 85215,1,33.4686493,-111.6838767
Sofia Bulgaria,1,42.6978634,23.3221789
IL 60016,1,13.0427275856308,80.1613883466911
North Pole,3,90.0,0.0
United States,1,39.7837304,-100.4458825
Perth Western Australia,3,-31.9527121,115.8604796
CA 91406,2,34.1850989839849,-118.488268081567
Tangier Morocco,1,35.777103,-5.803792
Oceania,2,-18.3128,138.5156
Aachen,3,50.776351,6.083862
Principality of Andorra,1,42.5407167,1.5732033
Wake Island,1,19.28982485,166.649264426002
Republic of Congo,1,-0.7264327,15.6419155
British Honduras,1,16.8259793,-88.7600927
Agorregi,1,43.2468433,-2.15345761407563
Norwich University,1,44.13917905,-72.6612695464237
The Democratic Republic of Congo,1,-2.9814344,23.8222636
Decatur County Courthouse,1,35.5845149,-88.1200346
Broad Street Oxford,1,51.7542844,-1.2572504
Kosova,1,42.5869578,20.9021231
Rovello Porro,1,45.6529291,9.0404049
Malaya,11,16.9815088,120.6861594
Dutch West Indies,1,9.9647989,76.2388846
Amsterdam Noord,3,52.4097446,4.9319309
Rome,2,41.894802,12.4853384
Caesar Rodney High School,1,39.1185163,-75.5410112845064
New York NY USA,1,40.7308619,-73.9871558
FL 32118,1,29.2153717712719,-81.0055270252121
Barcelona,2,41.3828939,2.1774322
Midland Valley High School,1,33.5259701,-81.8592791
Trilbardou 77,1,48.9420503,2.8056507
Dutch Caribbean,2,12.10644045,-68.9267977501952
NY 10018,1,13.524834,2.109823
CA 91316,1,34.1659419631505,-118.514030191369
Savannah GA 31406,1,32.0809263,-81.0911768
Punjab,2,30.9293211,75.5004841
Vancouver,1,49.2608724,-123.1139529
Red Sea,4,19.0,39.5
China Sea,3,40.4971535,-80.0583683
Transylvania,2,46.5971623,24.3740295
Eastern Ukraine,4,48.8573026,38.4826954160208
RI,1,41.7962409,-71.5992372
England. UK,3,52.7954791,-0.540240286617432
New Orleans,2,29.9499323,-90.0701156
The Merrow,1,51.2443481,-0.5335147
West Virginia University,1,39.65404635,-79.96475355
Khed,1,18.8528676,73.8846758
Providence Island,1,61.34600645,-117.661180566469
Struer,1,56.4808237,8.6029318
East William Street.,1,37.3393025,-121.8653488
Turkestan,2,43.298692,68.26296
Perchtoldsdorf Austria,1,48.1169363,16.2559683801349
CA 93015,1,34.3950763,-118.9283947
USA - Briarcliff Road,1,28.839035,-81.679297
Tamps. Mexico,1,25.7465204,-97.8157452
Islandmagee,1,54.7783413,-5.7084204
israel,1,30.8760272,35.0015196
sane,1,46.5456809,5.1304272
Pinjarra Western Australia,1,-32.6318966,115.869247
CA 90211,1,34.0722333,-118.3901691
NY 10804,1,13.524834,2.109823
TX 75166,1,33.0271386232134,-96.4353687131371
Mayotte,1,-12.823048,45.1520755
Republic of Ireland,4,52.865196,-7.9794599
West Bengal,1,22.9964948,87.6855882
GA 30013,1,33.6247440591496,-83.9870532287566
Canada.,2,61.0666922,-107.9917071
90255,1,33.9770088181643,-118.222943560319
Sandoy,1,61.854113,-6.7696129
Bosnia - Herzegovina,3,44.3053476,17.5961467
Azov Sea,1,46.1966328,36.7354618647603
Tyne and Wear,2,54.916667,-1.566667
Pcia de Buenos Aires,1,-34.5011799,-58.8082307
Sydney,3,-33.8548157,151.2164539
Nottingham,6,52.9534161,-1.1492773
Area 15 Noda,1,41.1464849,-8.5828433
Carson Tahoe Hospital.,1,39.2030291,-119.7827419
Tennesee,1,32.4553681,-106.4894389
USA 90012,1,34.073626,-118.2437394
TRNC,2,35.18261605,33.3585917827298
IL 60616.,1,41.8478505107077,-87.630989794459
film set,1,35.1595626,33.3554271
Forestry SA,1,-34.812406,138.856284696941
N Los Angeles 90095,1,33.9380832,-118.4075688
Barkerville Highway,1,53.0154665,-122.4950096
Longstreet Theatre,1,33.99598595,-81.0293675933426
4899 E 7th St. Joplin MO 64801,1,37.083647,-94.438976
japan,1,36.5748441,139.2394179
Queensland. Australia,1,-21.9182856,144.4588889
New York City,1,40.7308619,-73.9871558
USA 90018,1,34.0302912001385,-118.316810546197
London W8,1,51.4893335,-0.144055090450224
Florida 33912,1,26.5758712,-81.8005969
Grayson Coffee House,1,33.8875674,-96.6347479
USS Ranger,1,30.7065627,-87.0193852
Northolt,1,51.54823605,-0.368758078412536
Iowa USA,3,41.9216734,-93.3122705
Bolton,1,53.577694,-2.4288874
UK.,1,54.7023545,-3.2765753
NSW 2007,1,-33.8795895581981,151.197682183346
Chacao. Caracas. Venezuela,1,10.5165265,-66.8503781280488
Marocco,5,31.1728205,-7.3362482
Wales.,1,52.2928116,-3.73893
Texas Musicians Museum,1,32.81355665,-96.9440233753237
Namchi Sikkim,1,27.1661262,88.3651981
Lyndhurst in the New Forest. England. UK,1,50.8653408,-1.58145970838574
Principality of Monaco,1,43.7311424,7.4197576
President Cleveland,1,34.839289,-82.402501
JFK Airport,1,40.6429479,-73.7793733748521
Denver Colorado USA,4,39.7392364,-104.9848623
Adriatic Sea,6,43.7021514,14.6679465
People's Republic of China,2,35.000074,104.999927
Fort de Montmorency,2,48.9984891,2.3240329
Studio Diamond SP,1,40.7643461,-73.9837785927899
Southwest China,1,35.000074,104.999927
YSA,1,64.1465272,-21.8864608
Essex,1,51.7967047,0.579338882096011
El Vigia. Merida. Venezuela,1,8.6115829,-71.6596414
Hemel Hempstead,1,51.7511784,-0.472528
Residenz zu Salzburg,1,47.79851965,13.0471300508926
California 91316 USA,1,38.6275421,-92.5665171
Madrid Spain,2,40.4167047,-3.7035825
NM 87031,2,34.7963991,-106.6917107
Jakarta Indonesia,3,-6.1753942,106.827183
Cologne,1,50.938361,6.959974
Granja Viana So Paulo Brazil,1,-23.5981083,-46.8529614
5007,1,60.3873474021009,5.3238350937953
Vila Ch - Portugal,1,42.0748841,-8.36247267827759
El Dorado High School,1,37.8448619,-96.8442782
TX USA,1,31.8160381,-99.5120986
Sao Tome and Principe,2,0.8875498,6.9648718
Carthage MO 64836,1,37.1765141,-94.3103412
CA 90037,2,34.0178714,-118.2914326
Bergslagen,1,60.0978842,17.9489243
Palau Islands,1,39.572063,3.1823919
90026,1,34.0737086790309,-118.264582401243
Dobrohostiv,2,49.260948,23.590038
Prague,2,50.0874654,14.4212535
Bournemouth BH1 2AL,1,50.74467035,-1.85798090318094
Russell Island Australia,1,-15.2324936,128.095969758855
So Paulo,1,-7.2522904,-37.0110042
Thalassery,1,11.7490639,75.4931578
Sibling,1,44.0548844,-69.5076817
29160 Mexico,1,16.7165166,-93.019161
Telangana,1,17.8495919,79.1151663
Dong Xuan Center,1,52.5287912,13.489680544072
South Australia 5081,1,-34.901932,138.6092884
Adeyfield,1,51.7573776,-0.4504621
Jay Motel,1,44.9479733,-72.4379601
Pesaro,2,43.9098114,12.9131228
Zaire,3,-2.9814344,23.8222636
Los Angeles LGBT Center,1,34.1005628,-118.3327632
CA 92701,1,33.746198,-117.8663132
Morroco,3,31.8021175,-106.5431059
South Carolina,1,33.6874388,-80.4363743
Ialy,4,47.6717337,37.010486
Crna Gora,1,42.7728491,19.2408586
Cuba.,1,23.0131338,-80.8328748
94800 Villejuif,1,48.7921098,2.3633048
le-de-France France,1,43.878183,7.45148782565789
Algria,1,35.2909827,-1.1425224
MO 63110,1,38.6366767,-90.2626964
Southern Saskatchewan,1,49.6671907,-103.8991163
USS Lexington,2,27.8148742,-97.3887112715734
Brookvale,1,45.0263439,-63.1085588
Var France,1,43.4173595,6.26612878539015
Indiana / Indiana University South Bend,1,41.66197915,-86.2177488664124
Victory Christian Academy,1,42.1174039,-71.2356448
Soleuvre,1,49.5207381,5.9410195
MD USA,1,39.5162234,-76.9382069
East Sussex,1,50.9404529,0.369989903500859
Barcelona Spain,1,41.3828939,2.1774322
New Jersey,1,40.0757384,-74.4041622
Taipei,1,25.0375198,121.5636796
Mylapore,2,13.0316504,80.270099
Tunesia,1,33.8439408,9.400138
NY 10002,1,40.7141409,-73.9801825
Schoonebeek,1,52.6686946,6.90590334551076
Bosnia and Herzegowina,1,44.3053476,17.5961467
Happisburgh Norfolk,1,52.8232637,1.5300546
Muriwai Beach New Zealand,1,-36.8112859,174.417981
IKEA Stoughton,1,42.13813565,-71.0683024637973
le-de-France 75006 France,2,48.7215525,1.27966135969016
Ernest Brown,1,36.270596,-81.688058
North Stuart Street.,1,47.6873467,-117.4101949
Lu Hebert,1,49.4360972,8.9780195
Lawrence-Gregory Community Center,1,35.2095597,-87.3056445
Northern Pakistan,1,-3.3679794,36.6842415
Israel the West Bank Palestine,1,32.1720988,35.0336682
Pasadena Ambassador College,2,34.1480627,-118.1403486
Kentucky,2,37.5726028,-85.1551411
Amsterdam Centre,2,61.7902649,34.391108
German,1,54.21883865,-4.6165014711164
Bucks,2,51.75,-0.75
Adirondack Park of New York State,1,43.958065,-74.3207654459053
Youtube,1,37.6291599,-122.425517784338
Stockholms ln,2,59.3901513,18.664274920136
Gold Coast. Australia,1,-28.0023731,153.4145987
Seoul South Korea,1,37.5666791,126.9782914
West Virginia USA,1,38.4758406,-80.8408415
Navassa Island,1,18.408351,-75.0144367671773
CA 92683,1,33.7377796,-117.9897304
Black Sea,1,43.90819475,33.9729954589353
Caribbean,6,18.4,-75.0
Tuggerah NSW Australia,1,-33.3078425,151.4202463
West Australia,1,-23.485959,150.1676554
MI 49014,1,42.3052069389543,-85.1399592665431
Andorre,1,42.5407167,1.5732033
Yorkshire.,1,42.5300624,-78.4727976
Locmiquelic,1,47.7240686,-3.3424834
TN,3,33.8439408,9.400138
School House Kitchen & Libations 5660 Olde Wadsworth Blvd,1,39.7999482,-105.0813146
Roy Family Residence,1,44.36554125,26.1169392602465
My Brother's Bar 2376 15th St,1,39.7562288,-105.0093041
O'Neal-Cooper house,1,39.690279,-76.2780503209131
Povlen,1,44.1417262,19.7263659
Sherman Oaks Canada,1,44.01527,-79.49818
USS Princeton,1,33.7760192,-118.3013562
Louisiana,1,30.8703881,-92.007126
Lyon France,2,45.7578137,4.8320114
OH 44114,1,41.5018788,-81.6856924
Southern Necropolis,1,55.84365495,-4.24719051085571
The Irish Sea,1,53.3325136,-5.37141689978878
Louisiana USA,2,30.8703881,-92.007126
South Italy,2,40.41944165,15.3107562303225
Isreal,1,8.22974,-9.7686
Granada,2,37.183054,-3.6021928
Prince Edward Island,1,46.3355508,-63.1466676
Nauru,4,-0.5252306,166.9324426
West Sumatra,1,-0.5827529,100.6133379
Dubai to Southampton,1,56.4701647,-2.9194271
Pour Haus,1,34.0356095,-118.2337556
Republic of Vanuatu,1,-16.5255069,168.1069154
Lincolnshire,1,53.166667,-0.25
IE,1,52.865196,-7.9794599
New York 10012,1,40.7308619,-73.9871558
Euclid Hall Bar and Kitchen 1317 14th St,1,39.747718,-105.0001034
South-Africa,1,-28.8166236,24.991639
Bellas artes de Trujillo,1,-8.1254282,-79.0353729
Cumberland Park SA,1,-34.9720383,138.5866928
New Hebrides Islands,1,57.8978744,-6.8007708
San Jose. Costa Rica,1,9.9325427,-84.0795782
South Kurdistan,1,35.672803,47.0124376
Hastings on Hudson,1,40.9946622,-73.8785922
The Ruby Street,1,40.03436,-76.320614
Surrey UK,1,51.2715316,-0.341452351129091
Abbotsford Convent Melbourne Australia,1,-37.8024799,145.002641846807
The Yacht Wanda,1,36.9896076,-121.9956678
Nairobi,1,-1.2832533,36.8172449
Enigmatic Studios,1,45.7547567,4.8134266
South of Benin,1,10.34016885,3.1993720759322
Avalon Airport,1,-38.04723705,144.466388449085
Kingsbridge,1,50.2848555,-3.7789738
Washington USA,1,38.8950092,-77.0365625
Mesa de los Indios. Merida. Venezuela,1,8.5418566,-71.2923802
Incycle Bicycles Pasadena,1,34.14278065,-118.1507672
Valencia,1,39.4699014,-0.3759513
New Mexico,1,34.5708167,-105.993007
South-Korea,1,36.5581914,127.9408564
IL 60123,1,42.0412449431231,-88.3278321829622
North. Yorkshire,1,54.09159275,-1.53591125805015
Jorhat Assam,1,26.7577925,94.2079645
FL 32802,1,22.68,57.29
Regina's Ice Cream,1,41.6380723,-0.8979247
Florida Atlantic University,2,26.8878714,-80.1185591
USA Cantigny Park -,1,41.85464445,-88.1559209608472
Flanders Belgium,1,51.0962462,4.17985128926016
Brussels,2,50.8465573,4.351697
AZ 85253,1,33.5567586617788,-111.939586937488
North Carolina USA,3,35.6729639,-79.0392919
Highfield 14,1,53.6795111,-1.0670803
West Germany,2,48.763676,11.3255202308594
Bethnal Green Working Men's Club,1,51.5280811,-0.0637854357068597
The Indies,1,14.06865685,-60.9517093281712
Porto - Portugal,1,37.239243,-121.8767664
Wandin Victoria,1,-37.7693464,145.4572575
Blackpool,1,53.8182212,-3.0564845
Museo de las Americas 861 Santa Fe Drive,1,39.7300463,-104.9988396
USS Wasp,1,30.714021,-87.018676
Bombay India,1,-34.1069929,18.4710125
California. USA,1,36.7014631,-118.7559974
Co. Offaly. Ireland,1,53.1361633,-7.81030187385574
Tuva Republic,1,51.4017149,93.8582593
WA 99206,1,47.6014357,-117.201215
The Movement Gym,1,41.4441569,2.17097425602802
St. Peter's Anglican Church Erindale,1,43.54339185,-79.6591319570369
USA",1,39.7837304,-100.4458825
Yankee Air Museum,1,42.2390397,-83.5083047214717
Madrid. Spain,1,40.4167047,-3.7035825
Holstebro,1,56.3590324,8.6159188
Tangier market Morocco,1,35.777103,-5.803792
Astria,2,43.46802705,-1.49065325
Equatorial Africa,1,0.3183229,32.5740767
Co. Galway,2,53.34347575,-8.87336798602502
NY 10014,1,13.524834,2.109823
Siberia,1,60.0,100.0
Easter Islands,1,60.5881736,-1.1423596
New Hampshire,1,43.4849133,-71.6553992
Maine,1,45.709097,-68.8590201
Uzsoki Street Hospital,1,49.0034088,22.8887457
UW Milwaukee Panther Arena,1,43.0422882,-87.9169519898426
Rhineland-Palatinate,1,49.7497346,7.4396553
Oslo,1,59.9133301,10.7389701
Rotterdam,1,51.92779805,4.48862326925829
Tennessee USA,1,35.7730076,-86.2820081
S.S. Independence,1,36.8027102,-118.2000951
Sierra Ecuatoriana,1,-0.1990075,-78.4875417665897
Blize,1,51.30186795,-0.0822556896562927
Bizkaia,2,43.238482,-2.85163163999482
Scotland UK,1,56.7861112,-4.1140518
italy,1,42.6384261,12.674297
Southeastern Railway Museum,1,51.4790917,-0.0079655
US,1,39.7837304,-100.4458825
Toronto,3,43.653963,-79.387207
Escola de Cinema Darcy Ribeiro,1,-22.9016036,-43.1765975908831
Cruz Roja Mexicana,1,17.0557894,-96.7250332436331
Hume-Fogg Magnet High School,1,36.1595926,-86.7817489447255
Vatican City State,1,41.9034912,12.4528349
Northern Cyprus,1,35.4594217,33.6783123284803
Republic of Palau,1,6.097367,133.313631
MI 49008,1,42.2672223993029,-85.6113212044383
Crown Books,1,34.181533,-118.6040041
Kerpen,1,50.8696345,6.694734
Cuneo,1,44.3895925,7.5478945
Qubec,2,52.4760892,-71.8258668
NSW 2770,1,-33.7513089255466,150.812067011545
le-de-France 75020 France,1,48.7215525,1.27966135969016
Baja California Sur,1,25.5818014,-111.5706164
Winnersh Berkshire,1,51.430882,-0.8778641
Halifax Waterfront,1,53.7229229,-1.8604874
South Norwood Country Park,1,51.3964752,-0.0568200252546279
Channel Tunnel,1,51.0967692,1.327056
Suhareka,1,42.361567,20.8281442
East Africa,4,45.4690945,-73.6189681
Spokane Valley WA 99216,1,47.6571104,-117.2613936
Deseret First Credit Union,1,40.5820556,-111.8614155
Queen Victoria,1,45.4241541,-75.7012450325726
Trieste,1,45.6500335,13.7706559
Spain.,1,39.3262345,-4.8380649
South-West Africa,1,11.5024338,17.7578122
CA 90019,1,34.0473708340701,-118.33604586149
Engelberg,1,46.8223497,8.4043996
El Taco De Mexico 714 Santa Fe Drive,1,39.7276374,-104.9982893
Chennai,2,13.0801721,80.2838331
Indonesia to Singapore,1,-2.1306794,106.1119692
Australian Botanical Garden,1,-32.461717,137.743559987547
Bloomsbury Central Baptist Church,1,51.5164478,-0.126854100070109
Sultanpur Lodhi,1,31.2144692,75.19477
Sulaymaniyah,1,35.5570501,45.4425963
South Sandwich Islands,1,-59.454,-27.2468666166667
Indian Himalaya,1,40.3851544,-86.8988709
Lake Cumberland,1,36.8681214,-85.1474566
Ukraine],1,49.4871968,31.2718321
Queen Creek Golf Course,1,33.3020197,-111.287707375439
Virginia USA,1,37.1232245,-78.4927721
Catford Broadway Theatre,1,51.4453202,-0.0203203211305607
The Lake District,1,53.6278516,-113.4686522
Mrn,1,48.961264,4.31224359285714
Dublin 2,1,53.33894015,-6.25271282175961
Hyderabad India,3,17.3616079,78.4746286
United Arab emirates,1,24.0002488,53.9994829
Modderfontein,1,-26.6766662,28.3782111
Geelong. Australia,1,-38.1492813,144.3598269
London W1,2,51.4893335,-0.144055090450224
FL 33409,1,26.7135927269707,-80.09195263941
Hummel Park,1,41.36933725,-95.9584659798996
Fairfield Medical Center,1,53.41844565,-2.94707455823189
Dhaka-Chittagong Highway,1,23.1438277,91.3254565
ACME Comedy Theatre,2,34.07468415,-118.34436953867
DHM - Deutsches Historisches Museum,1,52.517699,13.3970326
North Carolina,1,35.6729639,-79.0392919
Foxwoods Resort Casino,1,41.47285265,-71.9577964185212
Isfahan Iran,1,32.6707877,51.6650002
Portage Michigan 49002,1,42.2011538,-85.5800022
Dunedin,1,-45.8739282,170.503488
IL. USA,2,39.7837304,-100.4458825
BraZil,1,-10.3333333,-53.2
FL 33024,1,26.0391965,-80.2167942
Delhi,1,28.6517178,77.2219388
NY.,1,43.1561681,-75.8449946
Sapphire Ranch,1,33.7303137,-117.7767643
Hanoi Vietnam,1,21.0294498,105.8544441
SP,1,-21.9549806,-49.0232348
Latin America,1,-26.24840305,-48.8691691169307
The Barrels Pub Hereford,1,52.0542608,-2.7103564
USS Blueback,1,45.50788785,-122.666886589969
Lahore. Pakistan,1,31.5655908,74.3141453
Austrailia,1,14.4149927,120.9755482
Harry's Cafe de Wheels Tempe,1,-33.9264014,151.1592655
Puebla,1,18.833333,-98.0
Wales UK,1,52.2928116,-3.73893
New Mexico USA,1,34.5708167,-105.993007
Norwich,1,52.628606,1.29227
Patan Durbar Square,1,27.673098,85.324738
Queen Mary 2,1,28.023354,-16.6100657
N Yorkshire,1,54.09159275,-1.53591125805015
Norway.,1,64.5731537,11.5280364395482
Bavaria,1,48.9467562,11.4038717
Mlaga,1,-3.3838711,38.3635795
Solvang,1,34.5958572,-120.1390894
SC Paintball Village,1,-27.27681095,-52.33532115
Phillipines,1,10.2447856,-61.4561398
Campal Goa,1,15.4881515,73.8135988
Sunset Valley TX,1,30.2257648,-97.803617
USA.,1,39.7837304,-100.4458825
The Ivar Theatre,1,34.10007615,-118.328516678997
Masada Israel,1,31.315367,35.3538164216662
58 Fairlawn Grove London W4 5EH,1,51.4957468,-0.2674093
St Patrick's Cathedral Park,1,24.8619208,67.0349979099359
Karnataka,2,14.5203896,75.7223521
Proud Cabaret Camden,1,51.54262595,-0.148650534664464
NL,3,52.5001698,5.7480821
VA 23185,1,37.25354,-76.7084227
South Atlantic Ocean,1,-45.0,-15.0
Newfoundland,1,49.12120935,-56.696296212741
FRANCE,1,46.603354,1.8883335
building "R",1,47.7406963,-122.190569651051
Norfolk Island,2,-29.02900955,167.958672246969
TW11 9DL,1,51.4184818544027,-0.320167483293858
Ryerson Urban Farm,1,43.6599342,-79.379777432247
1741 Lippold St Merrick NY 11566,1,40.6603304193548,-73.560738483871
Karachi,1,25.147872,67.1821931713384
Santa Fe Drive Arts District,1,39.7289085,-104.9986153
USA),1,39.7837304,-100.4458825
Lisbon,1,38.7077507,-9.1365919
Fudan University,1,31.30104395,121.500454969435
Leicestershire,1,52.666667,-1.0
Bucharest Romania,1,44.4361414,26.1027202
Fort Worth Country Day,1,32.69152705,-97.4086530709366
UT 84032,1,40.5428337138561,-111.387025683506
Bralos Railway Station,1,38.7266328,22.461787
Hertfordshire,1,51.8400523,-0.0978551922452396
Second Life,1,44.9184068,8.617062
Swallowcliffe,1,51.0434716,-2.0496802
PA USA,1,40.9699889,-77.7278831
le-de-France 75009 France,1,48.7215525,1.27966135969016
Warren Dunes,1,51.56694435,-9.02014491504589
Azores,1,37.2577796,-28.030992
USS New Jersey,1,39.93935085,-75.1330394191192
Unites States,1,44.1225412,-73.1761136
NC USA,3,35.6729639,-79.0392919
Schweiz,1,46.7985624,8.2319736
Soshanguve South Africa,1,-25.5263889,28.0994444
Las Vegas USA,1,36.1662859,-115.149225
Lazio,1,41.9808038,12.7662312
Bovine Metropolis Theater 1527 Champa St,1,39.7461002,-104.994751
near Docking,1,53.2300952,-0.1132425
Pontiac Street Oxford Michigan USA,1,42.8228233,-83.2680109
Highway 37/Dixie Highway,1,39.3677834,-84.5459735
Greater Manchester,1,53.50652485,-2.33744014225767
California US,1,36.7014631,-118.7559974
Warwickshire,1,52.333333,-1.583333
Parks,1,35.260615,-111.9485469
Republic of South Sudan,1,7.8699431,29.6667897
6006 Luzern,1,47.0505452,8.3054682
Boerne Tx 78006,1,29.7946641,-98.7319703
Broadford Motorcycle Complex,1,-37.2146791,145.083504132267
TX 75207,1,32.793467,-96.8148982
Canadian Arctic,1,69.1205806,-105.041690720786
Brooklyn,1,40.6501038,-73.9495823
Centerville Arkansas,1,35.1128655,-93.1687878
Papua-New-Guinea,1,-5.6816069,144.2489081
CA 90038,2,34.0915279,-118.3154012
Florida,2,27.7567667,-81.4639835
Durham City,1,54.7764152,-1.5758539
Frankfurt,1,50.1106444,8.6820917
Bognor Regis West Sussex,1,50.7834973,-0.6730718
U.S.A,1,19.5584043,-99.0277414
CO 80203,2,39.72299625,-104.986950539071
Monmouthshire,1,51.7501058,-2.8333331
Panama Canal,2,8.9258955,-79.5499547
CA 91325 USA,1,34.14391585,-118.761143806617
Jordania,1,31.1667049,36.941628
Ohio USA,1,40.2253569,-82.6881395
Gasteiz,1,42.8465088,-2.6724025
poland,2,52.0977181,19.0258159
Ipiabas,1,-22.37789,-43.875686
Strait of Georgia,1,49.568638,-124.4276837
Republica Dominicana,1,19.0974031,-70.3028026
UT 84121,1,40.6210475903545,-111.808876614985
Niedersachsen,1,52.8398531,9.075962
NY 10280,1,13.524834,2.109823
RSA,1,-28.8166236,24.991639
Stamullen,1,53.6285486,-6.2622712
GA 30268,1,33.5316597308555,-84.6849926592856
Philippies,1,-29.8834508,-61.9565903
Paradise Cove,1,39.6070628,-74.3248665
v,1,13.2904027,108.4265113
South Wales,1,42.7089493,-78.5780796
New Delhi,2,28.6141793,77.2022662
Juan-les-Pins,1,43.5676357,7.1141716
Cassano d'Adda. Milan. Italy,1,45.5263333,9.5214907
90024,1,34.0619695957863,-118.444945378691
WA 99224,1,47.6211753,-117.5170107
Southern Oregon University,1,42.18664255,-122.696830549056
Kleinstuck Preserve,1,42.2681116,-85.6019566826606
York,1,53.9590555,-1.0815361
Duo Restaurant 2413 W 32nd Ave,1,39.7621277,-105.0162676
California 91390,1,34.50296508,-118.46338746
Glasgow Scotland,1,55.8611389,-4.2501672
lichtenstein,1,47.1416307,9.5531527
Cambridge,1,52.2034823,0.1235817
Riot Games,1,34.03132965,-118.456714762259
GA 31322,1,32.1073071680119,-81.2519988885323
TX 78617,1,30.1586749,-97.6214081
Manchester Fort Shopping Park: Cheetham Hill,1,53.4973953,-2.2352059
Shekhupura. Pakistan,1,31.7085285,73.9864014
Republic of Chad,1,15.6134137,19.0156172
Aligarh,1,27.8815412,78.0690216
Kingswood House,1,51.0338619,-0.876626293548207
